frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
349,11.633333,0.002382,0.002382,0.007623,50,50,0.012263
350,11.666667,0.002815,0.002815,0.009009,50,50,0.011265
351,11.700000,-0.001508,0.001508,0.004826,50,50,0.011286
352,11.733333,-0.014539,0.014539,0.046524,50,50,0.018597
353,11.766667,-0.021793,0.021793,0.069739,50,50,0.012499
354,11.800000,-0.004285,0.004285,0.013712,50,50,0.018371
355,11.833333,0.003667,0.003667,0.011735,50,50,0.014151
356,11.866667,0.022774,0.022774,0.072877,50,50,0.020303
357,11.900000,0.010467,0.010467,0.033495,50,50,0.014847
358,11.933333,0.002111,0.002111,0.006755,50,50,0.015428
359,11.966667,-0.022407,0.022407,0.071703,50,50,0.049839
360,12.000000,-0.054515,0.054515,0.174449,50,50,0.027835
361,12.033333,-0.000452,0.000452,0.001446,50,50,0.021453
362,12.066667,-0.020142,0.020142,0.064453,50,50,0.022062
363,12.100000,-0.017039,0.017039,0.054526,49,49,0.021642
364,12.133333,-0.006205,0.006205,0.019856,49,49,0.018180
365,12.166667,-0.005389,0.005389,0.017243,49,49,0.012870
366,12.200000,0.010941,0.010941,0.035010,49,49,0.025786
367,12.233333,0.000741,0.000741,0.002371,48,48,0.025385
368,12.266667,-0.002464,0.002464,0.007884,48,48,0.021954
369,12.300000,0.005514,0.005514,0.017644,48,48,0.026395
370,12.333333,0.008875,0.008875,0.028401,48,48,0.017750
371,12.366667,0.006327,0.006327,0.020245,48,48,0.021387
372,12.400000,-0.010434,0.010434,0.033390,48,48,0.020546
373,12.433333,-0.004696,0.004696,0.015028,48,48,0.030274
374,12.466667,0.003075,0.003075,0.009839,48,48,0.012275
375,12.500000,0.001178,0.001178,0.003770,48,48,0.025998
376,12.533333,0.013563,0.013563,0.043401,48,48,0.022867
377,12.566667,-0.002679,0.002679,0.008573,48,48,0.016785
378,12.600000,-0.015583,0.015583,0.049866,48,48,0.014402
379,12.633333,-0.011732,0.011732,0.037543,48,48,0.010785
380,12.666667,-0.011982,0.011982,0.038342,48,48,0.011655
381,12.700000,-0.003110,0.003110,0.009951,48,48,0.017789
382,12.733333,-0.009768,0.009768,0.031258,48,48,0.020205
383,12.766667,-0.000429,0.000429,0.001373,48,48,0.016184
384,12.800000,0.002947,0.002947,0.009429,48,48,0.018598
385,12.833333,0.001783,0.001783,0.005707,48,48,0.014335
386,12.866667,-0.003343,0.003343,0.010697,47,47,0.028999
387,12.900000,0.001962,0.001962,0.006278,47,47,0.017375
388,12.933333,-0.005605,0.005605,0.017935,47,47,0.012105
389,12.966667,-0.007738,0.007738,0.024760,47,47,0.011272
390,13.000000,-0.007071,0.007071,0.022627,47,47,0.015265
391,13.033333,-0.009232,0.009232,0.029542,50,50,0.016901
392,13.066667,-0.009290,0.009290,0.029726,49,49,0.016521
393,13.100000,0.016347,0.016347,0.052312,49,49,0.022579
394,13.133333,0.002918,0.002918,0.009336,49,49,0.020050
395,13.166667,0.021983,0.021983,0.070345,49,49,0.017433
396,13.200000,-0.000310,0.000310,0.000993,49,49,0.023232
397,13.233333,-0.015491,0.015491,0.049570,49,49,0.017125
398,13.266667,-0.039708,0.039708,0.127065,49,49,0.024748
399,13.300000,-0.016081,0.016081,0.051458,49,49,0.033089
400,13.333333,-0.002037,0.002037,0.006519,49,49,0.024286
401,13.366667,-0.002338,0.002338,0.007483,49,49,0.014302
402,13.400000,0.004108,0.004108,0.013144,49,49,0.014108
403,13.433333,0.013142,0.013142,0.042055,49,49,0.016872
404,13.466667,0.036786,0.036786,0.117715,49,49,0.023835
405,13.500000,0.095498,0.095498,0.305594,49,49,0.047273
406,13.533333,0.028217,0.028217,0.090293,49,49,0.046407
407,13.566667,-1.572283,1.572283,5.031304,49,49,6.410207
408,13.600000,-0.076473,0.076473,0.244714,21,21,0.700162
409,13.633333,-0.200537,0.200537,0.641719,14,14,0.569759
410,13.666667,0.029627,0.029627,0.094805,46,46,0.282625
411,13.700000,0.144018,0.144018,0.460856,33,33,0.213230
412,13.733333,0.129523,0.129523,0.414474,28,28,0.126547
