frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
308,10.266667,-0.002880,0.002880,0.009218,41,41,0.012544
309,10.300000,-0.000633,0.000633,0.002024,39,39,0.017985
310,10.333333,-0.005104,0.005104,0.016332,38,38,0.015323
311,10.366667,-0.002139,0.002139,0.006845,49,49,0.007231
312,10.400000,-0.007448,0.007448,0.023832,48,48,0.032052
313,10.433333,-0.000119,0.000119,0.000380,46,46,0.006566
314,10.466667,-0.004835,0.004835,0.015471,45,45,0.019073
315,10.500000,-0.002579,0.002579,0.008252,45,45,0.009240
316,10.533333,-0.005491,0.005491,0.017571,45,45,0.011524
317,10.566667,-0.000445,0.000445,0.001425,45,45,0.012780
318,10.600000,-0.004895,0.004895,0.015664,44,44,0.018128
319,10.633333,0.000899,0.000899,0.002878,43,43,0.015983
320,10.666667,-0.003159,0.003159,0.010109,43,43,0.020154
321,10.700000,-0.000008,0.000008,0.000025,41,41,0.009259
322,10.733333,0.001774,0.001774,0.005677,40,40,0.009252
323,10.766667,-0.000532,0.000532,0.001703,40,40,0.005533
324,10.800000,-0.006274,0.006274,0.020078,40,40,0.012178
325,10.833333,-0.000353,0.000353,0.001128,40,40,0.008352
326,10.866667,0.000289,0.000289,0.000925,40,40,0.014457
327,10.900000,0.000349,0.000349,0.001118,40,40,0.007501
328,10.933333,-0.006819,0.006819,0.021821,40,40,0.015391
329,10.966667,-0.005210,0.005210,0.016672,40,40,0.011121
330,11.000000,-0.008256,0.008256,0.026420,40,40,0.015534
331,11.033333,0.000001,0.000001,0.000004,50,50,0.011890
332,11.066667,0.001264,0.001264,0.004045,48,48,0.009842
333,11.100000,0.000317,0.000317,0.001015,43,43,0.010434
334,11.133333,-0.007055,0.007055,0.022577,43,43,0.011560
335,11.166667,-0.008928,0.008928,0.028571,40,40,0.010344
336,11.200000,-0.012583,0.012583,0.040264,40,40,0.011054
337,11.233333,-0.003888,0.003888,0.012441,40,40,0.017456
338,11.266667,-0.007268,0.007268,0.023259,40,40,0.010888
339,11.300000,-0.003429,0.003429,0.010972,39,39,0.013701
340,11.333333,-0.003235,0.003235,0.010351,39,39,0.010507
341,11.366667,0.000037,0.000037,0.000119,50,50,0.009392
342,11.400000,-0.002934,0.002934,0.009390,48,48,0.022995
343,11.433333,-0.000795,0.000795,0.002543,43,43,0.007963
344,11.466667,-0.004793,0.004793,0.015339,43,43,0.013214
345,11.500000,-0.005976,0.005976,0.019123,42,42,0.012896
346,11.533333,-0.005557,0.005557,0.017783,40,40,0.011770
347,11.566667,0.003247,0.003247,0.010392,39,39,0.012582
348,11.600000,0.004280,0.004280,0.013695,37,37,0.010137
349,11.633333,-0.000003,0.000003,0.000010,49,49,0.007980
350,11.666667,-0.004366,0.004366,0.013971,49,49,0.013724
351,11.700000,-0.000088,0.000088,0.000281,43,43,0.006973
352,11.733333,-0.007440,0.007440,0.023809,42,42,0.014221
