frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
239,7.966667,-0.002992,0.002992,0.009574,45,45,0.035696
240,8.000000,-0.015839,0.015839,0.050686,43,43,0.062528
241,8.033333,0.000081,0.000081,0.000259,48,48,0.012363
242,8.066667,-0.002541,0.002541,0.008132,47,47,0.026169
243,8.100000,-0.000995,0.000995,0.003185,46,46,0.010265
244,8.133333,0.000934,0.000934,0.002989,45,45,0.020528
245,8.166667,0.000976,0.000976,0.003125,43,43,0.017364
246,8.200000,-0.001702,0.001702,0.005446,43,43,0.018565
247,8.233333,-0.001475,0.001475,0.004720,43,43,0.012476
248,8.266667,-0.006075,0.006075,0.019440,42,42,0.026086
249,8.300000,-0.009706,0.009706,0.031059,40,40,0.028767
250,8.333333,-0.015296,0.015296,0.048948,40,40,0.016645
251,8.366667,-0.001017,0.001017,0.003254,39,39,0.009386
252,8.400000,-0.001877,0.001877,0.006007,39,39,0.021956
253,8.433333,0.003809,0.003809,0.012188,50,50,0.009248
254,8.466667,-0.000435,0.000435,0.001392,47,47,0.022554
255,8.500000,0.000162,0.000162,0.000517,42,42,0.013445
256,8.533333,-0.005395,0.005395,0.017265,41,41,0.013658
257,8.566667,-0.000977,0.000977,0.003125,41,41,0.012770
258,8.600000,-0.003504,0.003504,0.011214,41,41,0.009821
259,8.633333,-0.003207,0.003207,0.010262,39,39,0.008088
260,8.666667,-0.005589,0.005589,0.017886,39,39,0.041388
261,8.700000,-0.000934,0.000934,0.002988,50,50,0.007466
262,8.733333,-0.000939,0.000939,0.003004,48,48,0.009296
263,8.766667,-0.000764,0.000764,0.002444,45,45,0.011582
264,8.800000,-0.000447,0.000447,0.001432,43,43,0.010023
265,8.833333,-0.002305,0.002305,0.007375,41,41,0.013403
266,8.866667,-0.009938,0.009938,0.031802,40,40,0.015992
267,8.900000,0.000388,0.000388,0.001242,40,40,0.014970
268,8.933333,-0.000481,0.000481,0.001539,40,40,0.013458
269,8.966667,0.000083,0.000083,0.000265,39,39,0.010360
270,9.000000,-0.007247,0.007247,0.023189,39,39,0.015841
271,9.033333,-0.000273,0.000273,0.000875,48,48,0.009362
272,9.066667,-0.005506,0.005506,0.017619,48,48,0.019304
273,9.100000,-0.001614,0.001614,0.005166,45,45,0.008143
274,9.133333,-0.001267,0.001267,0.004054,44,44,0.010096
275,9.166667,-0.000074,0.000074,0.000235,44,44,0.013486
276,9.200000,-0.002127,0.002127,0.006806,41,41,0.009779
277,9.233333,-0.002087,0.002087,0.006679,41,41,0.008392
278,9.266667,-0.000581,0.000581,0.001860,41,41,0.008644
279,9.300000,-0.000268,0.000268,0.000856,41,41,0.008037
280,9.333333,0.000248,0.000248,0.000794,41,41,0.011517
281,9.366667,-0.000436,0.000436,0.001396,39,39,0.013367
282,9.400000,-0.002246,0.002246,0.007186,39,39,0.016979
283,9.433333,0.003371,0.003371,0.010789,50,50,0.011514
284,9.466667,-0.002480,0.002480,0.007938,48,48,0.015376
285,9.500000,-0.001838,0.001838,0.005880,48,48,0.008135
286,9.533333,-0.006016,0.006016,0.019252,47,47,0.011450
287,9.566667,-0.003949,0.003949,0.012637,46,46,0.008323
288,9.600000,-0.006114,0.006114,0.019565,44,44,0.012482
289,9.633333,-0.000046,0.000046,0.000148,43,43,0.038240
290,9.666667,-0.012613,0.012613,0.040361,43,43,0.046776
291,9.700000,-0.210911,0.210911,0.674915,41,41,0.381026
292,9.733333,-0.598242,0.598242,1.914374,35,35,0.485578
293,9.766667,-0.737521,0.737521,2.360066,23,23,0.377636
294,9.800000,-0.526666,0.526666,1.685331,36,36,0.652996
295,9.833333,-1.377183,1.377183,4.406986,29,29,3.063484
296,9.866667,-1.421420,1.421420,4.548545,33,33,0.624578
297,9.900000,-1.887621,1.887621,6.040386,19,19,5.591594
298,9.933333,-0.039202,0.039202,0.125448,32,32,3.811381
299,9.966667,-0.219173,0.219173,0.701355,3,3,1.883529
300,10.000000,-0.183620,0.183620,0.587583,10,10,0.651244
301,10.033333,-0.748976,0.748976,2.396724,13,13,1.907064
302,10.066667,-2.025058,2.025058,6.480186,29,29,0.661765
303,10.100000,-4.199279,4.199279,13.437694,9,9,5.048992
304,10.133333,-0.675717,0.675717,2.162296,33,33,4.224277
305,10.166667,-0.781887,0.781887,2.502038,15,15,0.132780
306,10.200000,-0.584281,0.584281,1.869699,31,31,0.182570
307,10.233333,-0.535335,0.535335,1.713073,23,23,0.759183
308,10.266667,-0.952530,0.952530,3.048096,45,45,0.445125
309,10.300000,-0.569719,0.569719,1.823100,14,12,0.142874
310,10.333333,-0.222540,0.222540,0.712126,9,7,1.438519
311,10.366667,-0.013471,0.013471,0.043107,45,45,0.087231
312,10.400000,0.223595,0.223595,0.715505,35,35,0.182047
313,10.433333,0.515522,0.515522,1.649672,32,32,0.253840
314,10.466667,0.490613,0.490613,1.569961,46,46,0.246971
315,10.500000,0.524654,0.524654,1.678892,24,24,0.196786
316,10.533333,-0.187557,0.187557,0.600184,23,23,0.140929
317,10.566667,-0.401374,0.401374,1.284396,45,45,0.296710
318,10.600000,-0.544412,0.544412,1.742118,25,25,0.437442
319,10.633333,-0.595954,0.595954,1.907053,20,20,0.134642
320,10.666667,-0.654581,0.654581,2.094661,47,46,0.560316
321,10.700000,-0.598971,0.598971,1.916708,24,24,0.148800
322,10.733333,-0.407908,0.407908,1.305305,22,22,0.148296
323,10.766667,-0.232851,0.232851,0.745122,45,45,0.153485
324,10.800000,-0.449290,0.449290,1.437727,38,38,0.207291
325,10.833333,-0.174288,0.174288,0.557722,37,37,0.080443
326,10.866667,-0.186245,0.186245,0.595982,47,47,0.091679
327,10.900000,-0.017281,0.017281,0.055298,44,44,0.055158
328,10.933333,0.113383,0.113383,0.362825,42,42,0.086367
329,10.966667,-0.002864,0.002864,0.009166,39,39,0.017399
330,11.000000,-0.130223,0.130223,0.416714,39,39,0.070494
331,11.033333,-0.042647,0.042647,0.136470,50,50,0.079534
332,11.066667,-0.113908,0.113908,0.364504,42,42,0.118874
333,11.100000,-0.486451,0.486451,1.556644,33,33,0.168610
334,11.133333,-0.146796,0.146796,0.469748,31,31,0.100022
335,11.166667,-0.049917,0.049917,0.159735,48,48,0.067181
336,11.200000,-0.021907,0.021907,0.070103,42,42,0.035975
337,11.233333,-0.035168,0.035168,0.112536,37,37,0.038095
338,11.266667,-0.033178,0.033178,0.106169,35,35,0.037907
339,11.300000,0.003377,0.003377,0.010806,48,48,0.027646
340,11.333333,0.021851,0.021851,0.069922,46,46,0.043304
341,11.366667,0.009796,0.009796,0.031347,44,44,0.046057
342,11.400000,0.028037,0.028037,0.089718,40,40,0.049027
343,11.433333,0.008013,0.008013,0.025642,38,38,0.019810
344,11.466667,-0.032891,0.032891,0.105253,38,38,0.059444
345,11.500000,-0.087625,0.087625,0.280399,50,50,0.090038
346,11.533333,-0.113216,0.113216,0.362292,44,44,0.083255
347,11.566667,-0.095304,0.095304,0.304973,40,40,0.070863
348,11.600000,-0.082636,0.082636,0.264436,37,37,0.080263
349,11.633333,-0.143030,0.143030,0.457697,35,35,0.075355
350,11.666667,-0.081235,0.081235,0.259953,47,47,0.094461
351,11.700000,-0.001076,0.001076,0.003442,41,41,0.019707
352,11.733333,0.002565,0.002565,0.008208,35,35,0.016300
353,11.766667,-0.001863,0.001863,0.005962,35,35,0.014808
354,11.800000,0.009764,0.009764,0.031246,50,50,0.029253
355,11.833333,0.008103,0.008103,0.025930,44,44,0.010649
356,11.866667,-0.005208,0.005208,0.016664,43,43,0.016408
357,11.900000,-0.019426,0.019426,0.062163,40,40,0.020798
358,11.933333,-0.031970,0.031970,0.102305,40,40,0.031407
359,11.966667,-0.026301,0.026301,0.084162,39,39,0.033469
360,12.000000,-0.057069,0.057069,0.182620,39,39,0.083698
361,12.033333,-0.041164,0.041164,0.131726,48,48,0.058749
362,12.066667,-0.032570,0.032570,0.104225,40,40,0.037316
363,12.100000,0.000707,0.000707,0.002262,37,37,0.014852
364,12.133333,-0.009433,0.009433,0.030185,35,35,0.012439
365,12.166667,-0.002083,0.002083,0.006665,49,49,0.015618
366,12.200000,-0.014798,0.014798,0.047353,47,47,0.019380
367,12.233333,-0.016249,0.016249,0.051996,40,40,0.022602
368,12.266667,-0.021009,0.021009,0.067230,38,38,0.029482
369,12.300000,-0.004133,0.004133,0.013226,38,38,0.009738
370,12.333333,-0.017376,0.017376,0.055603,48,48,0.030273
371,12.366667,-0.007101,0.007101,0.022724,45,45,0.015701
372,12.400000,-0.016000,0.016000,0.051202,42,42,0.018204
373,12.433333,-0.020720,0.020720,0.066303,41,41,0.027337
374,12.466667,-0.038566,0.038566,0.123411,39,39,0.048132
375,12.500000,-0.008408,0.008408,0.026905,38,38,0.016521
376,12.533333,-0.028055,0.028055,0.089774,48,48,0.033698
377,12.566667,-0.043409,0.043409,0.138908,45,45,0.079805
378,12.600000,-0.085065,0.085065,0.272206,38,38,0.063097
379,12.633333,-0.132743,0.132743,0.424777,37,37,0.129773
380,12.666667,-0.260288,0.260288,0.832921,50,50,0.205038
381,12.700000,-0.353747,0.353747,1.131992,42,42,0.223397
382,12.733333,-0.571696,0.571696,1.829428,38,38,0.345990
383,12.766667,-1.881037,1.881037,6.019318,33,33,4.655896
384,12.800000,-1.008749,1.008749,3.227998,48,48,0.370106
385,12.833333,-0.692924,0.692924,2.217356,33,33,1.605162
386,12.866667,-1.133309,1.133309,3.626589,13,13,0.537461
387,12.900000,-0.170146,0.170146,0.544466,17,17,4.334850
388,12.933333,-1.623778,1.623778,5.196091,2,2,0.339342
389,12.966667,-1.478195,1.478195,4.730223,12,12,1.421478
390,13.000000,-0.859550,0.859550,2.750558,9,9,0.129213
391,13.033333,-0.015523,0.015523,0.049674,13,13,0.668787
392,13.066667,2.420269,2.420269,7.744860,31,27,5.799179
393,13.100000,-0.285631,0.285631,0.914019,4,1,0.000000
394,13.133333,-1.690809,1.690809,5.410590,21,21,0.823461
395,13.166667,-0.979687,0.979687,3.134998,10,10,0.535135
396,13.200000,-0.849542,0.849542,2.718536,10,10,0.308347
397,13.233333,-0.464606,0.464606,1.486740,35,35,0.359084
398,13.266667,-1.000257,1.000257,3.200823,13,13,0.260741
399,13.300000,-1.722288,1.722288,5.511321,32,32,2.662349
400,13.333333,-0.015423,0.015423,0.049353,11,11,5.940767
401,13.366667,-0.515391,0.515391,1.649250,41,40,0.485139
402,13.400000,-0.814851,0.814851,2.607523,14,14,0.487207
403,13.433333,-0.835858,0.835858,2.674744,10,10,0.342294
404,13.466667,-0.531818,0.531818,1.701818,16,15,0.123529
405,13.500000,-0.124822,0.124822,0.399432,13,13,0.090833
406,13.533333,0.070612,0.070612,0.225957,30,30,0.074450
407,13.566667,0.068263,0.068263,0.218440,26,26,0.203507
408,13.600000,-0.712693,0.712693,2.280616,23,23,0.360371
409,13.633333,-1.014052,1.014052,3.244966,14,14,0.035414
410,13.666667,-0.341781,0.341781,1.093698,28,28,0.220184
411,13.700000,0.426024,0.426024,1.363278,26,25,0.100535
412,13.733333,0.000588,0.000588,0.001882,44,44,0.068449
413,13.766667,0.465542,0.465542,1.489733,41,41,0.240995
414,13.800000,0.512597,0.512597,1.640309,33,33,0.238430
415,13.833333,0.202479,0.202479,0.647934,27,27,0.131888
416,13.866667,-0.014199,0.014199,0.045437,39,38,0.089571
417,13.900000,0.027331,0.027331,0.087458,24,23,0.027879
418,13.933333,0.012036,0.012036,0.038516,34,34,0.051197
419,13.966667,-0.181717,0.181717,0.581496,25,25,0.143774
420,14.000000,-0.158085,0.158085,0.505871,44,41,0.111893
421,14.033333,-0.106105,0.106105,0.339537,37,36,0.101634
422,14.066667,-0.285113,0.285113,0.912360,25,23,0.221273
423,14.100000,-0.657029,0.657029,2.102493,39,39,0.525519
424,14.133333,-0.281966,0.281966,0.902291,30,30,0.262452
425,14.166667,-0.526619,0.526619,1.685181,44,44,0.305796
426,14.200000,-0.174978,0.174978,0.559931,30,30,0.121878
427,14.233333,-0.029087,0.029087,0.093077,25,25,0.030907
428,14.266667,0.009594,0.009594,0.030700,43,43,0.034668
429,14.300000,0.069058,0.069058,0.220984,38,38,0.182397
